video_id,gloss_latency(s),text_latency(s),tts_latency(s),total_latency(s),pred_text,audio_path
sample_0,0.045,0.03,0.702,0.778,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_0.mp3
sample_1,0.067,0.031,0.683,0.78,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_1.mp3
sample_2,0.058,0.014,0.34,0.412,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_2.mp3
sample_3,0.053,0.014,0.359,0.426,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_3.mp3
sample_4,0.053,0.026,0.546,0.626,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_4.mp3
sample_5,0.06,0.024,0.637,0.722,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_5.mp3
sample_6,0.04,0.014,0.33,0.383,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_6.mp3
sample_7,0.056,0.014,0.37,0.441,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_7.mp3
sample_8,0.017,0.014,0.29,0.321,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_8.mp3
sample_9,0.051,0.009,0.287,0.347,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_9.mp3
sample_10,0.029,0.018,0.289,0.336,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_10.mp3
sample_11,0.035,0.017,0.303,0.355,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_11.mp3
sample_12,0.028,0.016,0.219,0.263,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_12.mp3
sample_13,0.035,0.017,0.23,0.282,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_13.mp3
sample_14,0.029,0.016,0.216,0.262,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_14.mp3
sample_15,0.037,0.023,0.377,0.438,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_15.mp3
sample_16,0.026,0.014,0.303,0.344,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_16.mp3
sample_17,0.027,0.035,0.723,0.786,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_17.mp3
sample_18,0.051,0.017,0.261,0.33,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_18.mp3
sample_19,0.054,0.022,0.274,0.35,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_19.mp3
sample_20,0.04,0.018,0.303,0.362,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_20.mp3
sample_21,0.021,0.016,0.307,0.344,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_21.mp3
sample_22,0.066,0.024,0.257,0.349,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_22.mp3
sample_23,0.036,0.036,0.483,0.555,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_23.mp3
sample_24,0.011,0.016,0.302,0.329,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_24.mp3
sample_25,0.042,0.026,0.725,0.794,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_25.mp3
