sample_0,0.138,regen neun,an den alpen,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_0_138ms.wav
sample_0,0.511,nord sonst,im norden norden bleibt es noch,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_0_511ms.wav
sample_2,0.102,ix nach,im laufe des tages dann am nachmittag,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_2_101ms.wav
sample_3,0.062,dienstag minus,am dienstag ist es nur leicht,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_3_62ms.wav
sample_4,0.055,land morgen,und morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_4_54ms.wav
sample_4,0.523,hoch druck,der süden deutschlands,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_4_523ms.wav
sample_5,0.070,sonne kommen,die sonne kommt die sonne,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_5_70ms.wav
sample_6,0.026,schauer gewitter,schauer und gewitter gewitter,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_6_25ms.wav
sample_12,0.046,region ix,sonst bleibt es unter den küsten,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_12_46ms.wav
sample_15,0.072,regen gewitter,dabei sind auch gewitter gewitter,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_15_71ms.wav
sample_17,0.051,wetter voraus,und nun die wettervorhersage für morgen mittwoch den siebten juli,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_17_51ms.wav
sample_17,0.453,informieren morgen,und morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen morgen,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_17_452ms.wav
sample_17,1.628,freitag mai,und freitag freitag freitag freitag freitag,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_17_1628ms.wav
sample_19,0.050,nacht sued,in der nacht regnet es im süden und im süden,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_19_50ms.wav
sample_22,0.096,sued nord,im süden süden süden süden süden,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_22_96ms.wav
sample_23,0.073,west freundlich,im westen ist es freundlicher,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_23_73ms.wav
sample_25,0.060,nord sonne,an den küsten viel sonne,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_25_59ms.wav
sample_25,0.322,wolke teilweise,hier und da wolken wolken,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_25_321ms.wav
sample_26,0.066,grad nord,an der nordsee norden an der nordsee,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_26_65ms.wav
sample_28,0.062,sonne regen,hier und da gibt es etwas regen,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_28_61ms.wav
sample_29,0.048,nord nordost,im nordosten im nordosten,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_29_47ms.wav
sample_31,0.091,region unterschied,im übrigen land,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_31_90ms.wav
sample_32,0.080,samstag schnee,am samstag schneit es etwas schnee,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_32_79ms.wav
sample_32,0.339,west mehr,im westen westen westen westen westen westen,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_32_338ms.wav
sample_35,0.051,zwischen bis,bis bis bis bis bis bis bis bis bis bis bis,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_35_50ms.wav
sample_36,0.053,wie-aussehen montag,am montag dann am montag am montag am montag,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_36_53ms.wav
sample_44,0.080,nur west,nur nur nur nur nur nur nur,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_44_79ms.wav
sample_45,0.081,nord koennen,an der nordsee,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_45_80ms.wav
sample_49,0.040,bis grad,bis bis bis bis zu bis zu,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_49_40ms.wav
sample_50,0.060,zwanzig region,am tag einundzwanzig grad im der lausitz,D:\Graduate Project\F\results_streaming\tts_outputs_streaming/sample_50_59ms.wav
